R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Yair Rodriguez,Jeremy Stephens,-140,120,71.42857143,120,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,2,0,0,3.09,0.4,0.4,1.18,0.38,3,15,80,0,0,1,6,8,0,0,15,Orthodox,175.26,180.34,145,0,1,0,4.33,0.45,0.9,0.9,0.29,6,1,26,0,0,2,2,3,0,0,7,Orthodox,180.34,180.34,145,27,33,-2,-1,-3,8,-14,54,0,5,0,-5.08,0,-6,-1.24,-0.5,0.28,0,1,8,7,,,,,,,,,,7,,,,,,,,,,,,,8,,,,Red,U-DEC,,3,5:00,900,0,0,96,50,170,95,0.56,0.52,136,99,213,156,0,3,3,4,0,0.75,0,0,0,1,0,0
Dominick Reyes,Chris Weidman,-200,170,50,170,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Light Heavyweight,MALE,5,1,0,0,3.14,0.42,1,3.82,0.5,9,4,35,5,0,0,3,4,3,0,10,Orthodox,187.96,198.12,205,0,5,0,5.03,0.52,0.4,0.39,0.16,5,0,9,0,0,1,1,2,1,0,5,Southpaw,193.04,195.58,205,29,35,-1,-5,4,5,-4,26,5,2,2,-5.08,2.54,-6,-1.89,0.6,3.43,0,1,,4,,,,,,4,,,,,,,,,,,,,,8,,,,,,,Red,KO/TKO,Punches,1,1:43,103,1,0,8,3,11,6,0.72,0.5,9,10,12,13,0,1,0,4,0,0.25,0,0,0,0,0,0
Joe Lauzon,Jonathan Pearce,170,-200,170,50,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Lightweight,MALE,3,0,0,0,11.21,0.57,0,4.48,0.5,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,3,0,0,2.84,0.39,2,2.39,0.45,3,12,52,0,0,1,1,5,7,0,14,Orthodox,177.8,180.34,155,35,27,3,0,-3,-14,12,-52,0,-5,-7,5.08,0,8,8.37,-2,2.09,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,1:33,93,0,0,25,8,36,19,0.69,0.42,28,8,39,19,1,0,2,0,0.5,0,0,0,2,0,0,0
Maycee Barber,Gillian Robertson,-170,150,58.82352941,150,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,2,0,2.18,0.5,1.3,3.44,0.47,2,1,8,0,0,0,0,1,3,0,4,Orthodox,165.1,160.02,125,0,2,0,3.15,0.6,0.3,0.95,0.3,2,0,4,0,0,0,0,4,0,0,2,Switch,165.1,165.1,125,21,24,0,0,0,2,-1,4,0,-3,3,0,-5.08,-3,-0.97,1,2.49,0,1,15,12,12,,,,,,,,,,,,,15,,,,,,,,,,,,,Red,KO/TKO,Punches,1,3:04,184,0,0,34,12,68,28,0.5,0.42,40,15,74,31,0,0,0,2,0,0,0,0,0,0,0,0
Deron Winn,Darren Stewart,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,2.94,0.44,0,1.38,0.44,2,4,17,0,0,0,1,2,0,0,3,Orthodox,182.88,187.96,185,0,1,0,6.6,0.47,0,3,0.33,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,185,30,28,0,0,1,2,-4,14,0,2,0,15.24,10.16,2,-3.66,0,-1.62,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,0,0,29,57,53,119,0.54,0.47,66,77,98,140,6,1,15,1,0.4,1,0,0,1,0,1,0
Charles Rosa,Manny Bermudez,160,-185,160,54.05405405,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,1,0,0,2.92,0.61,3.1,3.06,0.54,3,1,7,0,0,0,0,0,3,0,3,Orthodox,177.8,180.34,145,1,0,0,3.79,0.36,1.2,2.82,0.34,1,3,15,0,0,0,1,0,1,0,2,Switch,175.26,175.26,145,33,25,0,0,2,1,2,-8,0,0,2,2.54,5.08,8,-0.87,1.9,0.24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,2:46,166,0,0,6,27,8,38,0.75,0.71,8,37,11,49,0,1,0,1,0,1,1,0,0,1,0,0
Molly McCann,Diana Belbita,-640,470,15.625,470,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,0,0,6.53,0.38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,125,0,2,0,6.49,0.49,0.9,2.59,0.33,2,1,8,0,0,0,2,0,0,0,2,Orthodox,162.56,157.48,125,29,23,0,-2,-2,-2,1,-8,0,0,0,7.62,15.24,6,0.04,-0.9,-1.59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,113,98,238,252,0.47,0.38,126,104,252,260,5,1,14,1,0.35,1,1,0,5,0,0,0
Kyle Bochniak,Sean Woodson,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,5.27,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,145,2,0,0,2.63,0.31,0,1.14,0.15,1,4,18,0,0,1,1,0,0,0,2,Orthodox,170.18,177.8,145,32,27,2,0,-1,-2,4,-18,0,0,0,17.78,20.32,5,2.64,0,-1.14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,42,111,151,251,0.27,0.44,52,150,161,290,1,0,15,0,0.6,0,0,0,0,0,0,0
Randy Costa,Boston Salmon,130,-150,130,66.66666667,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,4.13,0.37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,175.26,175.26,135,1,0,0,8.05,0.46,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Switch,175.26,185.42,135,25,28,0,0,0,0,0,-1,0,0,0,0,-10.16,-3,-3.92,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,2:15,135,2,0,22,12,44,22,0.5,0.54,23,16,45,26,0,0,0,1,0,0,0,0,0,0,0,0
Court McGee,Sean Brady,150,-170,150,58.82352941,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,0,0,7.93,0.56,0,2,0.66,0,0,3,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,4.86,0.35,0.4,1.71,0.21,3,7,42,0,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,34,26,1,0,-3,-8,7,-39,0,0,-2,-2.54,-7.62,8,3.07,-0.4,0.29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,1,107,119,291,210,0.36,0.56,128,148,313,240,0,2,6,3,0,0.66,0,0,0,0,0,0
Brendan Allen,Kevin Holland,135,-155,135,64.51612903,10/18/2019,"Boston, Massachusetts, USA", USA,Red,FALSE,Middleweight,MALE,3,0,3,0,4.16,0.54,1.1,1.27,0.43,3,1,12,0,0,1,1,0,1,0,3,Orthodox,190.5,205.74,185,0,0,0,2,0.53,6.2,3.74,0.42,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,185,23,26,0,3,3,3,-1,12,0,0,1,2.54,15.24,-3,2.16,-5.1,-2.47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:38,518,0,0,10,22,22,38,0.45,0.57,23,37,41,55,2,1,3,1,0.66,1,4,1,5,2,2,1
Daniel Spitz,Tanner Boser,125,-145,125,68.96551724,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,0,0,4.17,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,255,1,0,0,2.6,0.35,0,0.74,0.66,1,2,6,0,0,0,0,1,0,0,1,Orthodox,200.66,208.28,245,29,28,1,0,-1,-1,2,-6,0,-1,0,-12.7,-17.78,1,1.57,0,-0.74,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,32,93,108,151,0.29,0.61,32,93,108,151,0,0,0,0,0,0,0,0,0,0,0,0
Demian Maia,Ben Askren,140,-160,140,62.5,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Welterweight,MALE,5,1,0,0,,0.49,0.9,4.33,0.55,1,1,2,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,170,0,2,0,,0.43,1,2.49,0.25,7,9,85,2,1,1,8,1,10,0,21,Southpaw,185.42,182.88,170,41,35,-1,-2,-6,-20,8,-83,-2,-1,-10,-5.08,2.54,6,0,-0.1,1.84,0,1,11,10,,,,,,,,10,,,,,,,,,,,,,11,,,,,,Red,SUB,Rear Naked Choke,3,3:54,834,0,0,69,63,122,127,0.56,0.49,84,102,137,168,0,4,0,7,0,0.57,1,0,4,1,2,1
Michael Johnson,Stevie Ray,-275,235,36.36363636,235,10/26/2019,"Kallang, Singapore", Singapore,Blue,FALSE,Lightweight,MALE,3,1,0,0,,0.44,0.6,0.75,0.46,3,4,23,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155,1,0,0,,0.37,0.1,0.52,0.45,4,10,53,0,0,1,6,4,0,0,11,Southpaw,177.8,185.42,155,33,29,0,0,-1,-5,6,-30,0,-2,0,0,-7.62,4,0,0.5,0.23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,3,5:00,900,0,0,78,85,173,188,0.45,0.45,81,104,176,207,0,1,0,4,0,0.25,0,0,0,1,0,0
Frank Camacho,Beneil Dariush,160,-185,160,54.05405405,10/26/2019,"Kallang, Singapore", Singapore,Blue,FALSE,Lightweight,MALE,3,0,2,1,,0.49,0.9,1.77,0.34,5,4,32,0,0,1,4,1,4,0,10,Southpaw,177.8,182.88,155,0,1,0,,0.46,0,1.18,0.45,1,3,13,0,0,1,0,1,0,0,2,Orthodox,177.8,185.42,170,30,30,0,1,4,8,-1,19,0,0,4,0,-2.54,0,0,0.9,0.59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:02,122,0,0,3,13,9,18,0.33,0.72,3,14,9,19,0,2,0,2,0,1,0,1,0,1,0,0
Ciryl Gane,Don'tale Mayes,-325,265,30.76923077,265,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Heavyweight,MALE,3,0,0,0,4.25,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,198.12,205.74,260,0,1,0,5.12,0.49,0.9,1.32,0.6,1,0,1,0,0,0,0,0,1,0,1,Orthodox,193.04,205.74,245,29,27,0,-1,-1,-1,0,-1,0,0,-1,5.08,0,2,-0.87,-0.9,-1.32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muslim Salikhov,Laureano Staropoli,-165,145,60.60606061,145,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Welterweight,MALE,3,0,2,0,4.29,0.31,0,0.33,0.25,2,0,6,0,0,0,2,0,0,0,2,Orthodox,185.42,180.34,170,0,2,0,2.92,0.46,0,1.22,0.42,2,1,5,0,0,0,0,2,0,0,2,Orthodox,180.34,177.8,170,35,26,0,0,0,0,1,1,0,-2,0,5.08,2.54,9,1.37,0,-0.89,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,63,42,132,138,0.47,0.3,64,48,133,144,3,0,5,3,0.6,0,0,0,0,0,0,0
Randa Markos,Ashley Yoder,-150,130,66.66666667,130,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,3.1,0.42,0.5,1.33,0.38,2,3,15,0,0,1,1,0,0,0,2,Southpaw,170.18,175.26,115,1,0,1,3.01,0.41,0.3,1.38,0.27,1,6,32,0,0,1,3,0,1,0,5,Orthodox,162.56,160.02,115,34,32,1,2,1,-3,3,-17,0,0,-1,7.62,15.24,2,0.09,0.2,-0.05,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,0,0,78,44,140,107,0.55,0.41,94,82,158,148,0,2,1,6,0,0.33,0,0,1,3,1,1
Alex White,Rafael Fiziev,165,-190,165,52.63157895,10/26/2019,"Kallang, Singapore", Singapore,Blue,FALSE,Lightweight,MALE,3,1,0,0,4.08,0.5,0,0.91,1,0,1,1,0,0,0,0,0,0,0,0,Switch,172.72,180.34,155,0,1,0,3.76,0.42,0.5,0.92,0.28,0,5,22,0,0,0,2,2,0,0,4,Southpaw,182.88,180.34,155,31,26,-1,-1,0,-4,4,-21,0,-2,0,-10.16,0,5,0.32,-0.5,-0.01,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,55,66,133,131,0.41,0.5,66,73,146,138,0,1,11,1,0,1,0,0,0,0,0,0
Enrique Barzola,Movsar Evloev,170,-200,170,50,10/26/2019,"Kallang, Singapore", Singapore,Blue,FALSE,Featherweight,MALE,3,0,1,0,4.03,0.38,0,4.5,0.33,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,182.88,145,0,1,0,3.93,0.39,0.2,4.56,0.45,4,2,24,0,0,1,5,0,0,0,6,Orthodox,170.18,177.8,145,30,25,0,0,-3,-5,2,-21,0,0,0,0,5.08,5,0.1,-0.2,-0.06,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,78,71,234,233,0.33,0.3,83,78,239,244,1,4,5,11,0.2,0.36,0,0,1,0,0,0
Maurice Greene,Sergei Pavlovich,200,-240,200,41.66666667,10/26/2019,"Kallang, Singapore", Singapore,Blue,FALSE,Heavyweight,MALE,3,0,1,0,6.55,0.52,0,0,0,1,1,2,0,0,0,0,1,0,0,1,Southpaw,190.5,213.36,257,0,3,0,4.19,0.44,0.5,0,0,3,0,5,0,0,1,0,1,1,0,3,Orthodox,200.66,203.2,258,33,27,0,-2,-2,-2,-1,-3,0,0,-1,-10.16,10.16,6,2.36,-0.5,0,0,1,,15,,,,,15,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1,2:11,131,0,1,8,20,22,37,0.36,0.54,8,21,22,38,0,0,0,0,0,0,0,0,0,0,0,0
Loma Lookboonmee,Alexandra Albu,-135,115,74.07407407,115,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,4.83,0.47,0.4,2.27,0.5,2,1,6,0,0,0,1,0,1,0,2,Orthodox,157.48,160.02,115,0,0,0,6.6,0.65,0,1,0.16,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,154.94,115,23,29,-1,0,2,2,-1,6,0,0,1,2.54,5.08,-6,-1.77,0.4,1.27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Pessoa Nunes,Jeff Hughes,205,-245,205,40.81632653,10/26/2019,"Kallang, Singapore", Singapore,Red,FALSE,Heavyweight,MALE,3,1,0,0,4.34,0.51,0,0.78,0.5,0,1,4,0,0,0,0,0,0,0,0,Orthodox,187.96,195.58,250,1,0,0,2.4,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,262,30,31,0,0,0,0,0,3,0,0,0,-2.54,-2.54,-1,1.94,0,0.78,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor McGregor,Donald Cerrone,-305,275,32.78688525,275,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,5,2,0,0,,0.46,1.3,1.21,0.36,8,10,71,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,1,0,0,,0.48,0,0.75,0.62,7,2,24,4,1,0,1,7,0,0,9,Southpaw,175.26,187.96,155,31,36,-1,0,1,14,-8,47,-3,3,6,10.16,-2.54,-5,0,1.3,0.46,0,1,,,,,,,,,,,4,,,,13,,,,,,,,,5,,,,,neither,KO/TKO,Punches,1,0:40,40,1,0,19,0,26,1,0.73,0,20,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0
Holly Holm,Raquel Pennington,-125,105,80,105,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,1,0,,0.45,0.9,1.14,0.26,4,4,32,1,0,2,3,0,2,0,7,Orthodox,170.18,170.18,135,1,0,0,,0.34,0.1,0.55,0.31,3,5,35,5,0,1,2,2,0,0,5,Southpaw,172.72,175.26,135,38,31,1,1,1,2,1,-3,-4,-2,2,-2.54,-5.08,7,0,0.8,0.59,0,1,5,3,,,,3,,,,,,,,,,,,,5,,,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,30,38,62,78,0.48,0.48,81,55,129,95,0,1,3,2,0,0.5,0,0,0,0,0,0
Aleksei Oleinik,Maurice Greene,110,-120,110,83.33333333,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,,0.44,0.7,0,0,3,1,6,0,0,1,0,1,1,0,3,Orthodox,200.66,203.2,258,2,0,0,,0.51,2.4,2.69,0.39,2,4,14,0,0,0,0,1,5,0,6,Orthodox,187.96,203.2,240,42,33,1,0,1,-3,3,-8,0,0,-4,12.7,0,9,0,-1.7,-2.69,0,1,,12,,,,,12,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Armbar,2,4:38,578,0,0,7,13,22,29,0.31,0.44,25,38,46,54,3,0,3,0,1,0,3,0,4,0,0,0
Anthony Pettis,Diego Ferreira,200,-220,200,45.45454545,1/18/2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,5,0,,0.36,0.9,0.57,0.2,5,2,19,0,0,0,3,3,1,0,7,Orthodox,175.26,187.96,155,1,0,0,,0.46,1.2,0.69,0.54,5,8,43,4,0,1,1,3,4,0,9,Orthodox,177.8,182.88,155,32,34,1,5,0,-2,6,-24,-4,0,-3,-2.54,5.08,-2,0,-0.3,-0.12,0,1,,11,,,,,,,,9,11,,,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2,1:46,406,0,0,22,25,45,53,0.48,0.47,28,43,51,74,0,3,0,7,0,0.42,0,1,0,4,0,0
Roxanne Modafferi,Maycee Barber,655,-830,655,12.04819277,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,3,0,,0.61,0,1.39,0.3,3,0,5,0,0,0,0,3,0,0,3,Switch,165.1,165.1,125,1,0,0,,0.31,0.1,1.51,0.2,1,4,19,1,0,1,0,1,0,0,2,Orthodox,170.18,175.26,125,37,21,1,3,2,1,4,-14,-1,2,0,-5.08,-10.16,16,0,-0.1,-0.12,0,1,9,7,7,,,,,,,,,,,,,9,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,1,0,19,16,43,31,0.44,0.51,112,25,155,45,1,0,1,0,1,0,0,1,10,1,1,3
Andre Fili,Sodiq Yusuff,125,-135,125,74.07407407,1/18/2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,3,0,,0.49,0,0,0,3,0,5,0,0,0,1,2,0,0,3,Orthodox,175.26,180.34,145,0,2,0,,0.37,0.2,2.44,0.46,2,5,31,0,0,1,4,2,0,0,8,Orthodox,180.34,187.96,145,29,26,0,1,1,-5,5,-26,0,0,0,-5.08,-7.62,3,0,-0.2,-2.44,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,49,73,145,155,0.33,0.47,56,90,152,177,3,0,7,0,0.42,0,0,1,0,5,0,1
Drew Dober,Nasrat Haqparast,290,-320,290,31.25,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,,0.46,0,0.3,0.25,3,1,11,0,0,0,2,1,0,0,3,Southpaw,177.8,182.88,155,0,1,0,,0.39,0.1,0.96,0.17,3,5,27,0,0,0,3,4,1,0,8,Southpaw,172.72,177.8,155,31,24,0,2,0,-5,4,-16,0,-3,-1,5.08,5.08,7,0,-0.1,-0.66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:10,70,1,0,13,7,26,11,0.5,0.63,13,7,26,11,0,0,0,0,0,0,0,0,1,0,0,0
Aleksa Camur,Justin Ledet,-115,105,86.95652174,105,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Light Heavyweight,MALE,3,2,0,0,,0.41,0.3,0.32,0.5,3,2,11,0,0,1,1,0,1,0,3,Orthodox,182.88,203.2,205,0,0,0,,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,205,24,21,-2,0,3,3,-2,11,0,0,1,-2.54,15.24,3,0,0.3,0.32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,80,44,165,131,0.48,0.33,88,60,174,148,1,0,2,0,0.5,0,0,0,0,0,0,0
Tim Elliott,Askar Askarov,130,-140,130,71.42857143,1/18/2020,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE,3,0,0,1,,0.47,0,4,0.36,0,0,3,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,125,1,0,0,,0.46,1.4,4.28,0.63,2,7,28,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,135,33,27,1,0,-2,-4,7,-25,-1,0,-1,-2.54,2.54,6,0,-1.4,-0.28,0,1,12,7,,,,,,,,,,,,7,,,,,,,,,,,,,12,,Red,U-DEC,,3,5:00,900,0,0,47,73,111,150,0.42,0.48,86,96,157,173,3,0,11,7,0.27,0,0,0,1,2,0,0
Brian Kelleher,Ode Obsourne,125,-135,125,74.07407407,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,,0.47,3.2,3.23,1,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,185.42,135,2,0,0,,0.45,0.6,1.25,0.26,2,3,12,0,0,0,1,1,1,0,3,Switch,167.64,167.64,135,33,38,2,0,-2,-3,3,-12,0,-1,-1,2.54,17.78,-5,0,2.6,1.98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabina Mazo,JJ Aldrich,-105,-105,95.23809524,95.23809524,1/18/2020,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,1,0,,0.4,0,0.36,0.25,3,2,17,0,0,0,4,0,0,0,4,Southpaw,165.1,170.18,125,0,1,0,,0.54,0,2,1,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,177.8,125,22,27,0,0,2,3,-1,11,0,0,0,-5.08,-7.62,-5,0,0,-1.64,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,0,0,118,58,323,144,0.36,0.4,121,69,327,156,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Masvidal,Nate Diaz,-155,135,64.51612903,135,11/02/2019,"New York City, New York, USA", USA,Red,FALSE,Welterweight,MALE,5,0,1,0,,0.45,1.4,1.19,0.3,5,9,60,1,0,1,3,1,9,0,15,Southpaw,182.88,193.04,170,0,2,0,,0.47,0.4,1.7,0.59,3,6,44,0,0,0,5,6,1,0,11,Orthodox,180.34,187.96,170,35,34,0,-1,2,4,-3,16,1,-5,8,2.54,5.08,1,0,1,-0.51,0,1,6,3,,,,,,,,3,,,,,,,,,,,,,6,,,,,,Red,KO/TKO,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,Darren Till,-200,170,50,170,11/02/2019,"New York City, New York, USA", USA,Blue,FALSE,Middleweight,MALE,3,2,0,1,,0.46,0,0.66,0.41,4,2,21,0,0,0,3,2,0,0,5,Southpaw,182.88,187.96,185,1,0,0,,0.43,0.1,0.8,0.35,5,4,41,1,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,28,27,-1,0,-1,-5,2,-20,-1,-1,-2,7.62,7.62,1,0,-0.1,-0.14,0,1,,4,,,,,,,4,,,,,,,,,,,,,,8,,,,,,Red,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,
